Span Fraction,Sectional Lift (lb),Sectional Drag (lb)
0.9996145181203615,-2.9730134723628522e-05,-2.461634370380328e-05
0.9965342284774632,-0.0002754967524048288,-8.534961693113671e-05
0.9903926402016152,-0.00076176384992571,-0.00015925742361620765
0.9812276182268236,-0.0014732721370168658,-0.0002435649810007173
0.969095667961242,-0.002389198736872556,-0.00033543964938388053
0.9540715869125407,-0.0034841712284705163,-0.00043212078786765185
0.9362480035363985,-0.004729219980153745,-0.0005310160807752093
0.9157348061512727,-0.006092682516496651,-0.000629768681740789
0.8926584654403724,-0.007541054325692073,-0.0007262988065954781
0.8671612547178428,-0.0090397764385604,-0.0008188236394195735
0.8394003727664707,-0.010553949564721282,-0.0009058596546355456
0.8095469746549171,-0.012048962631113184,-0.0009862113922784552
0.777785116509801,-0.013491016764866475,-0.0010589502847520324
0.7443106207484775,-0.014847510006824605,-0.001123386405254063
0.709329868768714,-0.016087213619378607,-0.0011790350750143926
0.6730585285387465,-0.017180086992208514,-0.0012255789374407734
0.6357202249325371,-0.018096335619479473,-0.0012628233176019588
0.5975451610080641,-0.018803434471513523,-0.0012906336669125558
0.5587686987289188,-0.019255143026492283,-0.0013087968239023041
0.5196299078795342,-0.019323027234216444,-0.0009859573944138778
0.48037009212046566,-0.01927037101298483,-0.0006505683882710824
0.4412313012710811,-0.019199766494156112,-0.0006452665619248067
0.40245483899193585,-0.019049879260005446,-0.0006350275962078623
0.36427977506746284,-0.01878992268243005,-0.000620656700865858
0.3269414714612535,-0.018408252854904335,-0.0006025783815823158
0.29067013123128593,-0.017900915297336676,-0.0005810768992367654
0.2556893792515225,-0.01726826293025384,-0.00055637031190773
0.22221488349019886,-0.016513498403932785,-0.0005286414643943171
0.19045302534508302,-0.01564187588994243,-0.0004980548354322949
0.1605996272335291,-0.014660179983170877,-0.000464767705931032
0.13283874528215722,-0.013576340779613179,-0.00042893849679370266
0.10734153455962753,-0.012399127517961649,-0.00039073328333274045
0.08426519384872738,-0.011137896490374449,-0.00035033082400085105
0.06375199646360141,-0.009802383344042718,-0.0003079261930026737
0.045928413087459374,-0.008402536091521105,-0.0002637330301574945
0.03090433203875792,-0.006948387343837421,-0.00021798442309545985
0.01877238177317636,-0.005449964384595823,-0.00017093247462073594
0.009607359798384785,-0.003917234723406189,-0.00012284665930511947
0.0034657715225368535,-0.0023600833231808105,-7.401112425603231e-05
0.0003854818796385495,-0.0007883162045503132,-2.472113121960642e-05
0.0003854818796385495,-0.0007883162045503132,-2.472113121960776e-05
0.0034657715225368535,-0.0023600833231808105,-7.401112425603331e-05
0.009607359798384785,-0.003917234723406189,-0.000122846659305112
0.01877238177317636,-0.005449964384595824,-0.00017093247462073775
0.03090433203875792,-0.0069483873438374215,-0.0002179844230954633
0.045928413087459374,-0.00840253609152111,-0.0002637330301574902
0.06375199646360141,-0.009802383344042716,-0.0003079261930026776
0.08426519384872738,-0.011137896490374447,-0.00035033082400084763
0.10734153455962753,-0.012399127517961645,-0.00039073328333273877
0.13283874528215722,-0.013576340779613174,-0.00042893849679369984
0.1605996272335291,-0.014660179983170872,-0.0004647677059310193
0.19045302534508302,-0.01564187588994242,-0.0004980548354323002
0.22221488349019886,-0.016513498403932774,-0.0005286414643943113
0.2556893792515225,-0.017268262930253835,-0.0005563703119077319
0.29067013123128593,-0.01790091529733667,-0.0005810768992367617
0.3269414714612535,-0.01840825285490433,-0.0006025783815823153
0.36427977506746284,-0.018789922682430044,-0.0006206567008658528
0.40245483899193585,-0.019049879260005446,-0.0006350275962078633
0.4412313012710811,-0.01919976649415611,-0.0006452665619248062
0.48037009212046566,-0.019270371012984823,-0.0006505683882710777
0.5196299078795342,-0.019323027234216434,-0.0009859573944138757
0.5587686987289188,-0.019255143026492276,-0.0013087968239023028
0.5975451610080641,-0.018803434471513523,-0.001290633666912555
0.6357202249325371,-0.01809633561947947,-0.0012628233176019672
0.6730585285387465,-0.017180086992208507,-0.0012255789374407732
0.709329868768714,-0.016087213619378607,-0.001179035075014392
0.7443106207484775,-0.014847510006824598,-0.0011233864052540607
0.777785116509801,-0.013491016764866469,-0.001058950284752032
0.8095469746549171,-0.012048962631113184,-0.000986211392278454
0.8394003727664707,-0.010553949564721289,-0.0009058596546355432
0.8671612547178428,-0.009039776438560417,-0.0008188236394195746
0.8926584654403724,-0.007541054325692087,-0.0007262988065954799
0.9157348061512727,-0.006092682516496663,-0.0006297686817407909
0.9362480035363985,-0.004729219980153757,-0.0005310160807752099
0.9540715869125407,-0.0034841712284705297,-0.0004321207878676539
0.969095667961242,-0.002389198736872561,-0.0003354396493838818
0.9812276182268236,-0.0014732721370168764,-0.00024356498100071725
0.9903926402016152,-0.0007617638499257176,-0.00015925742361620786
0.9965342284774632,-0.00027549675240483095,-8.534961693113664e-05
0.9996145181203615,-2.9730134723628742e-05,-2.4616343703803275e-05
